Molecule,Time,adj.Time,Group,adj.Group,Group_Time,adj.Group_Time
X237,0.035,0.051,0.098,0.21,0.098,0.62
X241,0.46,0.52,0.014,0.052,0.19,0.63
X252,0.051,0.071,4.50E-06,0.00021,0.37,0.78
X341,0.73,0.77,6.40E-05,0.0011,0.78,0.93
X342,0.0051,0.0088,0.0094,0.038,0.9,0.97
X344,9.70E-08,3.70E-07,0.0017,0.012,0.44,0.81
X347,8.00E-04,0.0017,0.00071,0.0083,0.51,0.83
X363,0.13,0.17,0.2,0.36,0.15,0.63
X440,0.96,0.96,0.034,0.1,7.20E-05,0.01
X444,0.16,0.21,0.44,0.66,0.71,0.9
X450,0.007,0.011,0.0013,0.011,0.67,0.88
